Admissions/Covers,Members,Total Admissions,date
258,50,308,2022-01-01
263,54,317,2022-01-02
149,20,169,2022-01-03
116,13,129,2022-01-04
69,43,112,2022-01-05
0,0,0,2022-01-06
0,1,1,2022-01-07
0,3,3,2022-01-08
0,1,1,2022-01-09
0,0,0,2022-01-10
0,0,0,2022-01-11
81,53,134,2022-01-12
75,53,128,2022-01-13
141,60,201,2022-01-14
407,101,508,2022-01-15
328,42,370,2022-01-16
195,74,269,2022-01-17
0,1,1,2022-01-18
79,59,138,2022-01-19
105,55,160,2022-01-20
128,49,177,2022-01-21
357,128,485,2022-01-22
234,44,278,2022-01-23
79,29,108,2022-01-24
0,0,0,2022-01-25
77,48,125,2022-01-26
83,28,111,2022-01-27
148,70,218,2022-01-28
323,78,401,2022-01-29
222,77,299,2022-01-30
54,53,107,2022-01-31
