Admissions/Covers,Members,Total Admissions,date
218,37,255,2022-05-01
83,36,119,2022-05-02
0,2,2,2022-05-03
62,41,103,2022-05-04
93,58,151,2022-05-05
149,65,214,2022-05-06
399,65,464,2022-05-07
258,68,326,2022-05-08
75,9,84,2022-05-09
0,0,0,2022-05-10
134,45,179,2022-05-11
113,41,154,2022-05-12
0,52,52,2022-05-13
384,55,439,2022-05-14
416,82,498,2022-05-15
130,39,169,2022-05-16
0,0,0,2022-05-17
156,56,212,2022-05-18
139,44,183,2022-05-19
0,49,49,2022-05-20
365,56,421,2022-05-21
339,97,436,2022-05-22
194,39,233,2022-05-23
221,28,249,2022-05-24
0,59,59,2022-05-25
267,43,310,2022-05-26
373,74,447,2022-05-27
864,70,934,2022-05-28
952,38,990,2022-05-29
564,86,650,2022-05-30
382,55,437,2022-05-31
