Admissions/Covers,Members,Total Admissions,date
407,57,464,2022-06-01
458,57,515,2022-06-02
478,72,550,2022-06-03
713,78,791,2022-06-04
525,78,603,2022-06-05
448,70,518,2022-06-06
398,86,484,2022-06-07
465,88,553,2022-06-08
530,110,640,2022-06-09
606,129,735,2022-06-10
921,93,1014,2022-06-11
571,66,637,2022-06-12
492,83,575,2022-06-13
630,76,706,2022-06-14
620,85,705,2022-06-15
482,103,585,2022-06-16
540,122,662,2022-06-17
763,92,855,2022-06-18
405,71,476,2022-06-19
715,113,828,2022-06-20
665,128,793,2022-06-21
549,83,632,2022-06-22
358,68,426,2022-06-23
948,91,1039,2022-06-24
885,129,1014,2022-06-25
346,71,417,2022-06-26
775,101,876,2022-06-27
609,81,690,2022-06-28
651,119,770,2022-06-29
531,72,603,2022-06-30
