Admissions/Covers,Members,Total Admissions,date
34,18,52,2022-11-01
32,16,48,2022-11-02
66,23,89,2022-11-03
95,49,144,2022-11-04
227,84,311,2022-11-05
190,81,271,2022-11-06
-10,4,-6,2022-11-07
0,0,0,2022-11-08
0,1,1,2022-11-09
67,31,98,2022-11-10
130,52,182,2022-11-11
322,65,387,2022-11-12
116,50,166,2022-11-13
62,27,89,2022-11-14
35,7,42,2022-11-15
51,26,77,2022-11-16
73,42,115,2022-11-17
83,47,130,2022-11-18
216,55,271,2022-11-19
259,68,327,2022-11-20
287,37,324,2022-11-21
148,19,167,2022-11-22
248,56,304,2022-11-23
65,13,78,2022-11-24
631,71,702,2022-11-25
481,73,554,2022-11-26
177,88,265,2022-11-27
36,32,68,2022-11-28
22,5,27,2022-11-29
37,34,71,2022-11-30
