Admissions/Covers,Members,Total Admissions,date
39,14,53,2022-12-01
66,25,91,2022-12-02
139,36,175,2022-12-03
113,49,162,2022-12-04
43,20,63,2022-12-05
18,13,31,2022-12-06
43,36,79,2022-12-07
56,30,86,2022-12-08
94,27,121,2022-12-09
213,58,271,2022-12-10
97,35,132,2022-12-11
29,25,54,2022-12-12
22,9,31,2022-12-13
42,29,71,2022-12-14
53,22,75,2022-12-15
79,33,112,2022-12-16
214,62,276,2022-12-17
163,71,234,2022-12-18
102,38,140,2022-12-19
63,21,84,2022-12-20
234,37,271,2022-12-21
180,37,217,2022-12-22
298,56,354,2022-12-23
196,37,233,2022-12-24
0,0,0,2022-12-25
514,73,587,2022-12-26
251,31,282,2022-12-27
449,57,506,2022-12-28
449,65,514,2022-12-29
562,61,623,2022-12-30
484,98,582,2022-12-31
