Admissions/Covers,Members,Total Admissions,date
399,90,489,2023-01-01
310,67,377,2023-01-02
119,31,150,2023-01-03
147,59,206,2023-01-04
208,46,254,2023-01-05
174,60,234,2023-01-06
469,91,560,2023-01-07
239,82,321,2023-01-08
67,49,116,2023-01-09
10,7,17,2023-01-10
79,28,107,2023-01-11
88,51,139,2023-01-12
182,80,262,2023-01-13
503,86,589,2023-01-14
312,62,374,2023-01-15
157,66,223,2023-01-16
29,6,35,2023-01-17
31,25,56,2023-01-18
53,34,87,2023-01-19
167,45,212,2023-01-20
380,47,427,2023-01-21
243,47,290,2023-01-22
45,45,90,2023-01-23
2,0,2,2023-01-24
72,30,102,2023-01-25
83,57,140,2023-01-26
184,54,238,2023-01-27
355,65,420,2023-01-28
198,53,251,2023-01-29
52,30,82,2023-01-30
7,14,21,2023-01-31
