Admissions/Covers,Members,Total Admissions,date
50,21,71,2023-03-01
61,36,97,2023-03-02
96,47,143,2023-03-03
344,79,423,2023-03-04
210,63,273,2023-03-05
81,25,106,2023-03-06
0,0,0,2023-03-07
85,29,114,2023-03-08
122,60,182,2023-03-09
68,27,95,2023-03-10
167,34,201,2023-03-11
242,64,306,2023-03-12
216,18,234,2023-03-13
75,16,91,2023-03-14
223,38,261,2023-03-15
267,27,294,2023-03-16
301,50,351,2023-03-17
525,73,598,2023-03-18
468,79,547,2023-03-19
222,32,254,2023-03-20
41,13,54,2023-03-21
180,42,222,2023-03-22
223,55,278,2023-03-23
243,62,305,2023-03-24
326,68,394,2023-03-25
319,76,395,2023-03-26
160,32,192,2023-03-27
52,6,58,2023-03-28
213,58,271,2023-03-29
68,7,75,2023-03-30
214,49,263,2023-03-31
