Admissions/Covers,Members,Total Admissions,date
135,33,168,2023-05-01
21,18,39,2023-05-02
96,36,132,2023-05-03
130,46,176,2023-05-04
127,47,174,2023-05-05
353,68,421,2023-05-06
166,92,258,2023-05-07
-1,0,-1,2023-05-08
82,54,136,2023-05-09
129,24,153,2023-05-10
86,33,119,2023-05-11
146,57,203,2023-05-12
327,49,376,2023-05-13
339,85,424,2023-05-14
175,42,217,2023-05-15
143,41,184,2023-05-16
114,53,167,2023-05-17
91,44,135,2023-05-18
273,55,328,2023-05-19
396,56,452,2023-05-20
273,76,349,2023-05-21
202,68,270,2023-05-22
153,25,178,2023-05-23
268,64,332,2023-05-24
302,60,362,2023-05-25
344,95,439,2023-05-26
1013,86,1099,2023-05-27
1193,78,1271,2023-05-28
690,105,795,2023-05-29
601,76,677,2023-05-30
512,57,569,2023-05-31
