Admissions/Covers,Members,Total Admissions,date
310,55,365,2023-06-01
376,69,445,2023-06-02
590,83,673,2023-06-03
641,116,757,2023-06-04
454,99,553,2023-06-05
472,66,538,2023-06-06
483,69,552,2023-06-07
562,88,650,2023-06-08
531,112,643,2023-06-09
798,97,895,2023-06-10
678,118,796,2023-06-11
602,80,682,2023-06-12
499,86,585,2023-06-13
557,83,640,2023-06-14
640,108,748,2023-06-15
427,62,489,2023-06-16
1175,104,1279,2023-06-17
1046,130,1176,2023-06-18
753,123,876,2023-06-19
680,109,789,2023-06-20
874,94,968,2023-06-21
767,110,877,2023-06-22
819,118,937,2023-06-23
915,129,1044,2023-06-24
772,127,899,2023-06-25
743,108,851,2023-06-26
750,90,840,2023-06-27
786,98,884,2023-06-28
772,130,902,2023-06-29
727,146,873,2023-06-30
