Admissions/Covers,Members,Total Admissions,date
1001,181,1182,2023-07-01
1284,189,1473,2023-07-02
1505,161,1666,2023-07-03
861,100,961,2023-07-04
1173,171,1344,2023-07-05
1101,146,1247,2023-07-06
930,158,1088,2023-07-07
1107,154,1261,2023-07-08
836,72,908,2023-07-09
773,88,861,2023-07-10
790,110,900,2023-07-11
755,125,880,2023-07-12
921,145,1066,2023-07-13
862,146,1008,2023-07-14
1017,74,1091,2023-07-15
820,146,966,2023-07-16
786,141,927,2023-07-17
793,100,893,2023-07-18
893,118,1011,2023-07-19
839,77,916,2023-07-20
873,129,1002,2023-07-21
1048,133,1181,2023-07-22
878,138,1016,2023-07-23
707,65,772,2023-07-24
876,144,1020,2023-07-25
791,126,917,2023-07-26
792,111,903,2023-07-27
1033,143,1176,2023-07-28
911,138,1049,2023-07-29
737,83,820,2023-07-30
543,69,612,2023-07-31
