Admissions/Covers,Members,Total Admissions,date
864,72,936,2023-08-01
771,84,855,2023-08-02
835,127,962,2023-08-03
906,111,1017,2023-08-04
886,127,1013,2023-08-05
887,124,1011,2023-08-06
755,91,846,2023-08-07
745,93,838,2023-08-08
659,109,768,2023-08-09
517,73,590,2023-08-10
768,90,858,2023-08-11
958,109,1067,2023-08-12
621,151,772,2023-08-13
362,98,460,2023-08-14
450,122,572,2023-08-15
568,111,679,2023-08-16
332,99,431,2023-08-17
513,99,612,2023-08-18
893,123,1016,2023-08-19
624,127,751,2023-08-20
386,105,491,2023-08-21
339,53,392,2023-08-22
371,80,451,2023-08-23
332,82,414,2023-08-24
386,51,437,2023-08-25
627,69,696,2023-08-26
527,101,628,2023-08-27
343,100,443,2023-08-28
283,86,369,2023-08-29
302,101,403,2023-08-30
310,82,392,2023-08-31
