Admissions/Covers,Members,Total Admissions,date
31,33,64,2023-12-01
120,32,152,2023-12-02
105,50,155,2023-12-03
44,50,94,2023-12-04
53,36,89,2023-12-05
38,37,75,2023-12-06
42,63,105,2023-12-07
63,25,88,2023-12-08
210,70,280,2023-12-09
20,17,37,2023-12-10
44,37,81,2023-12-11
0,2,2,2023-12-12
37,20,57,2023-12-13
32,26,58,2023-12-14
98,73,171,2023-12-15
245,65,310,2023-12-16
189,97,286,2023-12-17
86,45,131,2023-12-18
84,28,112,2023-12-19
166,56,222,2023-12-20
174,81,255,2023-12-21
194,67,261,2023-12-22
400,67,467,2023-12-23
254,27,281,2023-12-24
0,0,0,2023-12-25
617,42,659,2023-12-26
630,68,698,2023-12-27
517,97,614,2023-12-28
759,61,820,2023-12-29
796,111,907,2023-12-30
526,95,621,2023-12-31
