Admissions/Covers,Members,Total Admissions,date
526,84,610,2024-01-01
269,65,334,2024-01-02
286,55,341,2024-01-03
285,58,343,2024-01-04
300,53,353,2024-01-05
390,80,470,2024-01-06
260,53,313,2024-01-07
0,0,0,2024-01-08
29,3,32,2024-01-09
43,38,81,2024-01-10
62,8,70,2024-01-11
107,46,153,2024-01-12
370,61,431,2024-01-13
232,50,282,2024-01-14
175,30,205,2024-01-15
29,16,45,2024-01-16
77,37,114,2024-01-17
81,52,133,2024-01-18
179,62,241,2024-01-19
430,108,538,2024-01-20
161,68,229,2024-01-21
58,36,94,2024-01-22
33,22,55,2024-01-23
73,64,137,2024-01-24
66,51,117,2024-01-25
127,50,177,2024-01-26
377,121,498,2024-01-27
227,90,317,2024-01-28
120,72,192,2024-01-29
58,34,92,2024-01-30
76,79,155,2024-01-31
