Admissions/Covers,Members,Total Admissions,date
89,50,139,2024-02-01
102,53,155,2024-02-02
339,45,384,2024-02-03
204,95,299,2024-02-04
81,57,138,2024-02-05
3,6,9,2024-02-06
55,27,82,2024-02-07
97,57,154,2024-02-08
142,50,192,2024-02-09
298,66,364,2024-02-10
156,68,224,2024-02-11
107,39,146,2024-02-12
44,24,68,2024-02-13
121,43,164,2024-02-14
88,30,118,2024-02-15
180,64,244,2024-02-16
520,89,609,2024-02-17
498,92,590,2024-02-18
0,0,0,2024-02-19
0,0,0,2024-02-20
0,0,0,2024-02-21
0,0,0,2024-02-22
0,0,0,2024-02-23
527,129,656,2024-02-24
319,85,404,2024-02-25
97,48,145,2024-02-26
25,8,33,2024-02-27
60,60,120,2024-02-28
105,50,155,2024-02-29
