Admissions/Covers,Members,Total Admissions,date
180,72,252,2024-03-01
301,46,347,2024-03-02
115,51,166,2024-03-03
62,48,110,2024-03-04
25,27,52,2024-03-05
118,64,182,2024-03-06
82,49,131,2024-03-07
190,64,254,2024-03-08
331,73,404,2024-03-09
423,113,536,2024-03-10
0,0,0,2024-03-11
0,0,0,2024-03-12
0,0,0,2024-03-13
192,27,219,2024-03-14
193,64,257,2024-03-15
374,115,489,2024-03-16
238,68,306,2024-03-17
290,71,361,2024-03-18
175,42,217,2024-03-19
338,62,400,2024-03-20
360,65,425,2024-03-21
484,106,590,2024-03-22
478,64,542,2024-03-23
240,62,302,2024-03-24
159,27,186,2024-03-25
157,22,179,2024-03-26
264,43,307,2024-03-27
272,45,317,2024-03-28
256,48,304,2024-03-29
335,61,396,2024-03-30
166,29,195,2024-03-31
