Admissions/Covers,Members,Total Admissions,date
135,53,188,2024-04-01
119,35,154,2024-04-02
100,59,159,2024-04-03
156,59,215,2024-04-04
176,63,239,2024-04-05
207,35,242,2024-04-06
182,66,248,2024-04-07
44,35,79,2024-04-08
59,35,94,2024-04-09
91,56,147,2024-04-10
83,27,110,2024-04-11
159,69,228,2024-04-12
453,64,517,2024-04-13
253,99,352,2024-04-14
154,9,163,2024-04-15
112,48,160,2024-04-16
151,53,204,2024-04-17
147,48,195,2024-04-18
235,56,291,2024-04-19
372,58,430,2024-04-20
357,87,444,2024-04-21
179,55,234,2024-04-22
93,31,124,2024-04-23
96,63,159,2024-04-24
54,40,94,2024-04-25
100,39,139,2024-04-26
286,56,342,2024-04-27
232,92,324,2024-04-28
102,59,161,2024-04-29
98,44,142,2024-04-30
