Admissions/Covers,Members,Total Admissions,date
629,105,734,2024-06-01
688,151,839,2024-06-02
430,70,500,2024-06-03
511,71,582,2024-06-04
478,91,569,2024-06-05
558,121,679,2024-06-06
497,84,581,2024-06-07
770,106,876,2024-06-08
627,138,765,2024-06-09
466,87,553,2024-06-10
600,98,698,2024-06-11
646,96,742,2024-06-12
727,94,821,2024-06-13
437,39,476,2024-06-14
871,136,1007,2024-06-15
795,122,917,2024-06-16
671,88,759,2024-06-17
747,83,830,2024-06-18
750,141,891,2024-06-19
519,79,598,2024-06-20
536,52,588,2024-06-21
899,94,993,2024-06-22
710,152,862,2024-06-23
745,137,882,2024-06-24
758,120,878,2024-06-25
519,100,619,2024-06-26
398,63,461,2024-06-27
896,109,1005,2024-06-28
662,106,768,2024-06-29
822,124,946,2024-06-30
