Admissions/Covers,Members,Total Admissions,date
258,50,308,2022-01-01
263,54,317,2022-01-02
149,20,169,2022-01-03
116,13,129,2022-01-04
69,43,112,2022-01-05
0,0,0,2022-01-06
0,1,1,2022-01-07
0,3,3,2022-01-08
0,1,1,2022-01-09
0,0,0,2022-01-10
0,0,0,2022-01-11
81,53,134,2022-01-12
75,53,128,2022-01-13
141,60,201,2022-01-14
407,101,508,2022-01-15
328,42,370,2022-01-16
195,74,269,2022-01-17
0,1,1,2022-01-18
79,59,138,2022-01-19
105,55,160,2022-01-20
128,49,177,2022-01-21
357,128,485,2022-01-22
234,44,278,2022-01-23
79,29,108,2022-01-24
0,0,0,2022-01-25
77,48,125,2022-01-26
83,28,111,2022-01-27
148,70,218,2022-01-28
323,78,401,2022-01-29
222,77,299,2022-01-30
54,53,107,2022-01-31
0,1,1,2022-02-01
54,43,97,2022-02-02
94,40,134,2022-02-03
179,51,230,2022-02-04
389,117,506,2022-02-05
209,76,285,2022-02-06
105,64,169,2022-02-07
0,0,0,2022-02-08
78,47,125,2022-02-09
77,57,134,2022-02-10
145,92,237,2022-02-11
402,116,518,2022-02-12
187,49,236,2022-02-13
108,62,170,2022-02-14
0,0,0,2022-02-15
136,45,181,2022-02-16
92,55,147,2022-02-17
192,73,265,2022-02-18
705,123,828,2022-02-19
494,135,629,2022-02-20
221,41,262,2022-02-21
0,0,0,2022-02-22
78,32,110,2022-02-23
73,35,108,2022-02-24
201,69,270,2022-02-25
452,79,531,2022-02-26
280,72,352,2022-02-27
96,39,135,2022-02-28
0,0,0,2022-03-01
112,63,175,2022-03-02
115,52,167,2022-03-03
162,29,191,2022-03-04
375,73,448,2022-03-05
190,70,260,2022-03-06
106,23,129,2022-03-07
0,0,0,2022-03-08
135,47,182,2022-03-09
105,37,142,2022-03-10
207,50,257,2022-03-11
496,87,583,2022-03-12
302,50,352,2022-03-13
285,50,335,2022-03-14
0,0,0,2022-03-15
425,44,469,2022-03-16
278,28,306,2022-03-17
340,77,417,2022-03-18
512,92,604,2022-03-19
393,48,441,2022-03-20
359,27,386,2022-03-21
0,0,0,2022-03-22
369,64,433,2022-03-23
199,53,252,2022-03-24
379,63,442,2022-03-25
508,60,568,2022-03-26
400,59,459,2022-03-27
189,37,226,2022-03-28
0,0,0,2022-03-29
127,38,165,2022-03-30
163,69,232,2022-03-31
166,41,207,2022-04-01
345,75,420,2022-04-02
124,56,180,2022-04-03
156,57,213,2022-04-04
0,0,0,2022-04-05
99,50,149,2022-04-06
136,31,167,2022-04-07
186,69,255,2022-04-08
267,72,339,2022-04-09
171,34,205,2022-04-10
87,35,122,2022-04-11
0,0,0,2022-04-12
76,25,101,2022-04-13
83,34,117,2022-04-14
167,50,217,2022-04-15
383,57,440,2022-04-16
196,76,272,2022-04-17
0,0,0,2022-04-18
0,0,0,2022-04-19
0,0,0,2022-04-20
0,0,0,2022-04-21
0,0,0,2022-04-22
342,47,389,2022-04-23
196,63,259,2022-04-24
80,36,116,2022-04-25
67,24,91,2022-04-26
81,28,109,2022-04-27
139,41,180,2022-04-28
201,52,253,2022-04-29
361,87,448,2022-04-30
218,37,255,2022-05-01
83,36,119,2022-05-02
0,2,2,2022-05-03
62,41,103,2022-05-04
93,58,151,2022-05-05
149,65,214,2022-05-06
399,65,464,2022-05-07
258,68,326,2022-05-08
75,9,84,2022-05-09
0,0,0,2022-05-10
134,45,179,2022-05-11
113,41,154,2022-05-12
0,52,52,2022-05-13
384,55,439,2022-05-14
416,82,498,2022-05-15
130,39,169,2022-05-16
0,0,0,2022-05-17
156,56,212,2022-05-18
139,44,183,2022-05-19
0,49,49,2022-05-20
365,56,421,2022-05-21
339,97,436,2022-05-22
194,39,233,2022-05-23
221,28,249,2022-05-24
0,59,59,2022-05-25
267,43,310,2022-05-26
373,74,447,2022-05-27
864,70,934,2022-05-28
952,38,990,2022-05-29
564,86,650,2022-05-30
382,55,437,2022-05-31
407,57,464,2022-06-01
458,57,515,2022-06-02
478,72,550,2022-06-03
713,78,791,2022-06-04
525,78,603,2022-06-05
448,70,518,2022-06-06
398,86,484,2022-06-07
465,88,553,2022-06-08
530,110,640,2022-06-09
606,129,735,2022-06-10
921,93,1014,2022-06-11
571,66,637,2022-06-12
492,83,575,2022-06-13
630,76,706,2022-06-14
620,85,705,2022-06-15
482,103,585,2022-06-16
540,122,662,2022-06-17
763,92,855,2022-06-18
405,71,476,2022-06-19
715,113,828,2022-06-20
665,128,793,2022-06-21
549,83,632,2022-06-22
358,68,426,2022-06-23
948,91,1039,2022-06-24
885,129,1014,2022-06-25
346,71,417,2022-06-26
775,101,876,2022-06-27
609,81,690,2022-06-28
651,119,770,2022-06-29
531,72,603,2022-06-30
759,126,885,2022-07-01
1090,133,1223,2022-07-02
1071,122,1193,2022-07-03
832,85,917,2022-07-04
432,143,575,2022-07-05
545,123,668,2022-07-06
995,127,1122,2022-07-07
1012,140,1152,2022-07-08
963,126,1089,2022-07-09
455,90,545,2022-07-10
620,97,717,2022-07-11
559,122,681,2022-07-12
619,60,679,2022-07-13
633,109,742,2022-07-14
783,110,893,2022-07-15
984,144,1128,2022-07-16
689,116,805,2022-07-17
501,111,612,2022-07-18
706,119,825,2022-07-19
869,143,1012,2022-07-20
738,116,854,2022-07-21
707,152,859,2022-07-22
930,122,1052,2022-07-23
599,80,679,2022-07-24
643,77,720,2022-07-25
628,96,724,2022-07-26
640,81,721,2022-07-27
515,51,566,2022-07-28
807,89,896,2022-07-29
782,128,910,2022-07-30
733,109,842,2022-07-31
522,83,605,2022-08-01
790,109,899,2022-08-02
674,105,779,2022-08-03
579,98,677,2022-08-04
669,96,765,2022-08-05
906,119,1025,2022-08-06
707,125,832,2022-08-07
649,78,727,2022-08-08
587,116,703,2022-08-09
559,116,675,2022-08-10
472,64,536,2022-08-11
663,141,804,2022-08-12
838,100,938,2022-08-13
724,135,859,2022-08-14
354,91,445,2022-08-15
332,66,398,2022-08-16
393,62,455,2022-08-17
468,114,582,2022-08-18
303,75,378,2022-08-19
639,105,744,2022-08-20
481,90,571,2022-08-21
310,46,356,2022-08-22
380,82,462,2022-08-23
296,105,401,2022-08-24
324,75,399,2022-08-25
277,80,357,2022-08-26
834,154,988,2022-08-27
509,97,606,2022-08-28
345,84,429,2022-08-29
317,85,402,2022-08-30
237,67,304,2022-08-31
252,77,329,2022-09-01
410,93,503,2022-09-02
1201,128,1329,2022-09-03
1356,143,1499,2022-09-04
485,94,579,2022-09-05
245,70,315,2022-09-06
247,79,326,2022-09-07
266,53,319,2022-09-08
391,86,477,2022-09-09
678,100,778,2022-09-10
435,100,535,2022-09-11
277,64,341,2022-09-12
235,38,273,2022-09-13
220,40,260,2022-09-14
348,51,399,2022-09-15
321,74,395,2022-09-16
644,107,751,2022-09-17
449,126,575,2022-09-18
339,61,400,2022-09-19
175,56,231,2022-09-20
228,48,276,2022-09-21
223,55,278,2022-09-22
406,101,507,2022-09-23
717,104,821,2022-09-24
493,82,575,2022-09-25
256,57,313,2022-09-26
240,45,285,2022-09-27
244,52,296,2022-09-28
279,42,321,2022-09-29
295,71,366,2022-09-30
524,75,599,2022-10-01
160,20,180,2022-10-02
117,49,166,2022-10-03
334,76,410,2022-10-04
236,37,273,2022-10-05
299,69,368,2022-10-06
337,62,399,2022-10-07
660,69,729,2022-10-08
496,59,555,2022-10-09
253,62,315,2022-10-10
240,48,288,2022-10-11
213,48,261,2022-10-12
375,61,436,2022-10-13
524,59,583,2022-10-14
725,72,797,2022-10-15
366,71,437,2022-10-16
206,62,268,2022-10-17
92,22,114,2022-10-18
167,67,234,2022-10-19
246,50,296,2022-10-20
359,65,424,2022-10-21
395,57,452,2022-10-22
150,40,190,2022-10-23
80,28,108,2022-10-24
80,13,93,2022-10-25
73,43,116,2022-10-26
62,27,89,2022-10-27
135,78,213,2022-10-28
287,88,375,2022-10-29
189,87,276,2022-10-30
50,41,91,2022-10-31
34,18,52,2022-11-01
32,16,48,2022-11-02
66,23,89,2022-11-03
95,49,144,2022-11-04
227,84,311,2022-11-05
190,81,271,2022-11-06
-10,4,-6,2022-11-07
0,0,0,2022-11-08
0,1,1,2022-11-09
67,31,98,2022-11-10
130,52,182,2022-11-11
322,65,387,2022-11-12
116,50,166,2022-11-13
62,27,89,2022-11-14
35,7,42,2022-11-15
51,26,77,2022-11-16
73,42,115,2022-11-17
83,47,130,2022-11-18
216,55,271,2022-11-19
259,68,327,2022-11-20
287,37,324,2022-11-21
148,19,167,2022-11-22
248,56,304,2022-11-23
65,13,78,2022-11-24
631,71,702,2022-11-25
481,73,554,2022-11-26
177,88,265,2022-11-27
36,32,68,2022-11-28
22,5,27,2022-11-29
37,34,71,2022-11-30
39,14,53,2022-12-01
66,25,91,2022-12-02
139,36,175,2022-12-03
113,49,162,2022-12-04
43,20,63,2022-12-05
18,13,31,2022-12-06
43,36,79,2022-12-07
56,30,86,2022-12-08
94,27,121,2022-12-09
213,58,271,2022-12-10
97,35,132,2022-12-11
29,25,54,2022-12-12
22,9,31,2022-12-13
42,29,71,2022-12-14
53,22,75,2022-12-15
79,33,112,2022-12-16
214,62,276,2022-12-17
163,71,234,2022-12-18
102,38,140,2022-12-19
63,21,84,2022-12-20
234,37,271,2022-12-21
180,37,217,2022-12-22
298,56,354,2022-12-23
196,37,233,2022-12-24
0,0,0,2022-12-25
514,73,587,2022-12-26
251,31,282,2022-12-27
449,57,506,2022-12-28
449,65,514,2022-12-29
562,61,623,2022-12-30
484,98,582,2022-12-31
399,90,489,2023-01-01
310,67,377,2023-01-02
119,31,150,2023-01-03
147,59,206,2023-01-04
208,46,254,2023-01-05
174,60,234,2023-01-06
469,91,560,2023-01-07
239,82,321,2023-01-08
67,49,116,2023-01-09
10,7,17,2023-01-10
79,28,107,2023-01-11
88,51,139,2023-01-12
182,80,262,2023-01-13
503,86,589,2023-01-14
312,62,374,2023-01-15
157,66,223,2023-01-16
29,6,35,2023-01-17
31,25,56,2023-01-18
53,34,87,2023-01-19
167,45,212,2023-01-20
380,47,427,2023-01-21
243,47,290,2023-01-22
45,45,90,2023-01-23
2,0,2,2023-01-24
72,30,102,2023-01-25
83,57,140,2023-01-26
184,54,238,2023-01-27
355,65,420,2023-01-28
198,53,251,2023-01-29
52,30,82,2023-01-30
7,14,21,2023-01-31
58,44,102,2023-02-01
95,46,141,2023-02-02
178,75,253,2023-02-03
434,116,550,2023-02-04
206,81,287,2023-02-05
49,22,71,2023-02-06
7,16,23,2023-02-07
117,37,154,2023-02-08
70,51,121,2023-02-09
155,53,208,2023-02-10
424,73,497,2023-02-11
151,56,207,2023-02-12
86,23,109,2023-02-13
16,11,27,2023-02-14
19,8,27,2023-02-15
84,41,125,2023-02-16
224,50,274,2023-02-17
506,66,572,2023-02-18
393,35,428,2023-02-19
189,52,241,2023-02-20
26,16,42,2023-02-21
0,4,4,2023-02-22
75,33,108,2023-02-23
123,47,170,2023-02-24
344,97,441,2023-02-25
214,63,277,2023-02-26
90,41,131,2023-02-27
-3,12,9,2023-02-28
50,21,71,2023-03-01
61,36,97,2023-03-02
96,47,143,2023-03-03
344,79,423,2023-03-04
210,63,273,2023-03-05
81,25,106,2023-03-06
0,0,0,2023-03-07
85,29,114,2023-03-08
122,60,182,2023-03-09
68,27,95,2023-03-10
167,34,201,2023-03-11
242,64,306,2023-03-12
216,18,234,2023-03-13
75,16,91,2023-03-14
223,38,261,2023-03-15
267,27,294,2023-03-16
301,50,351,2023-03-17
525,73,598,2023-03-18
468,79,547,2023-03-19
222,32,254,2023-03-20
41,13,54,2023-03-21
180,42,222,2023-03-22
223,55,278,2023-03-23
243,62,305,2023-03-24
326,68,394,2023-03-25
319,76,395,2023-03-26
160,32,192,2023-03-27
52,6,58,2023-03-28
213,58,271,2023-03-29
68,7,75,2023-03-30
214,49,263,2023-03-31
399,79,478,2023-04-01
229,56,285,2023-04-02
61,4,65,2023-04-03
0,0,0,2023-04-04
85,35,120,2023-04-05
171,52,223,2023-04-06
158,43,201,2023-04-07
353,79,432,2023-04-08
180,56,236,2023-04-09
84,47,131,2023-04-10
40,6,46,2023-04-11
117,39,156,2023-04-12
76,28,104,2023-04-13
124,49,173,2023-04-14
287,74,361,2023-04-15
191,92,283,2023-04-16
0,0,0,2023-04-17
0,0,0,2023-04-18
30,0,30,2023-04-19
0,0,0,2023-04-20
0,1,1,2023-04-21
0,0,0,2023-04-22
0,0,0,2023-04-23
0,0,0,2023-04-24
0,0,0,2023-04-25
91,39,130,2023-04-26
81,55,136,2023-04-27
121,60,181,2023-04-28
445,104,549,2023-04-29
271,101,372,2023-04-30
135,33,168,2023-05-01
21,18,39,2023-05-02
96,36,132,2023-05-03
130,46,176,2023-05-04
127,47,174,2023-05-05
353,68,421,2023-05-06
166,92,258,2023-05-07
-1,0,-1,2023-05-08
82,54,136,2023-05-09
129,24,153,2023-05-10
86,33,119,2023-05-11
146,57,203,2023-05-12
327,49,376,2023-05-13
339,85,424,2023-05-14
175,42,217,2023-05-15
143,41,184,2023-05-16
114,53,167,2023-05-17
91,44,135,2023-05-18
273,55,328,2023-05-19
396,56,452,2023-05-20
273,76,349,2023-05-21
202,68,270,2023-05-22
153,25,178,2023-05-23
268,64,332,2023-05-24
302,60,362,2023-05-25
344,95,439,2023-05-26
1013,86,1099,2023-05-27
1193,78,1271,2023-05-28
690,105,795,2023-05-29
601,76,677,2023-05-30
512,57,569,2023-05-31
310,55,365,2023-06-01
376,69,445,2023-06-02
590,83,673,2023-06-03
641,116,757,2023-06-04
454,99,553,2023-06-05
472,66,538,2023-06-06
483,69,552,2023-06-07
562,88,650,2023-06-08
531,112,643,2023-06-09
798,97,895,2023-06-10
678,118,796,2023-06-11
602,80,682,2023-06-12
499,86,585,2023-06-13
557,83,640,2023-06-14
640,108,748,2023-06-15
427,62,489,2023-06-16
1175,104,1279,2023-06-17
1046,130,1176,2023-06-18
753,123,876,2023-06-19
680,109,789,2023-06-20
874,94,968,2023-06-21
767,110,877,2023-06-22
819,118,937,2023-06-23
915,129,1044,2023-06-24
772,127,899,2023-06-25
743,108,851,2023-06-26
750,90,840,2023-06-27
786,98,884,2023-06-28
772,130,902,2023-06-29
727,146,873,2023-06-30
1001,181,1182,2023-07-01
1284,189,1473,2023-07-02
1505,161,1666,2023-07-03
861,100,961,2023-07-04
1173,171,1344,2023-07-05
1101,146,1247,2023-07-06
930,158,1088,2023-07-07
1107,154,1261,2023-07-08
836,72,908,2023-07-09
773,88,861,2023-07-10
790,110,900,2023-07-11
755,125,880,2023-07-12
921,145,1066,2023-07-13
862,146,1008,2023-07-14
1017,74,1091,2023-07-15
820,146,966,2023-07-16
786,141,927,2023-07-17
793,100,893,2023-07-18
893,118,1011,2023-07-19
839,77,916,2023-07-20
873,129,1002,2023-07-21
1048,133,1181,2023-07-22
878,138,1016,2023-07-23
707,65,772,2023-07-24
876,144,1020,2023-07-25
791,126,917,2023-07-26
792,111,903,2023-07-27
1033,143,1176,2023-07-28
911,138,1049,2023-07-29
737,83,820,2023-07-30
543,69,612,2023-07-31
864,72,936,2023-08-01
771,84,855,2023-08-02
835,127,962,2023-08-03
906,111,1017,2023-08-04
886,127,1013,2023-08-05
887,124,1011,2023-08-06
755,91,846,2023-08-07
745,93,838,2023-08-08
659,109,768,2023-08-09
517,73,590,2023-08-10
768,90,858,2023-08-11
958,109,1067,2023-08-12
621,151,772,2023-08-13
362,98,460,2023-08-14
450,122,572,2023-08-15
568,111,679,2023-08-16
332,99,431,2023-08-17
513,99,612,2023-08-18
893,123,1016,2023-08-19
624,127,751,2023-08-20
386,105,491,2023-08-21
339,53,392,2023-08-22
371,80,451,2023-08-23
332,82,414,2023-08-24
386,51,437,2023-08-25
627,69,696,2023-08-26
527,101,628,2023-08-27
343,100,443,2023-08-28
283,86,369,2023-08-29
302,101,403,2023-08-30
310,82,392,2023-08-31
425,70,495,2023-09-01
1148,110,1258,2023-09-02
1353,131,1484,2023-09-03
841,108,949,2023-09-04
327,70,397,2023-09-05
218,47,265,2023-09-06
303,83,386,2023-09-07
399,80,479,2023-09-08
691,105,796,2023-09-09
334,73,407,2023-09-10
314,77,391,2023-09-11
215,44,259,2023-09-12
208,75,283,2023-09-13
240,70,310,2023-09-14
333,74,407,2023-09-15
600,110,710,2023-09-16
399,109,508,2023-09-17
166,41,207,2023-09-18
210,33,243,2023-09-19
292,47,339,2023-09-20
332,69,401,2023-09-21
392,86,478,2023-09-22
684,96,780,2023-09-23
518,98,616,2023-09-24
319,60,379,2023-09-25
227,63,290,2023-09-26
306,75,381,2023-09-27
367,76,443,2023-09-28
494,85,579,2023-09-29
626,88,714,2023-09-30
2,0,2,2023-10-01
0,0,0,2023-10-02
254,37,291,2023-10-03
278,56,334,2023-10-04
331,53,384,2023-10-05
388,67,455,2023-10-06
653,52,705,2023-10-07
621,123,744,2023-10-08
467,60,527,2023-10-09
310,40,350,2023-10-10
305,55,360,2023-10-11
298,49,347,2023-10-12
466,81,547,2023-10-13
682,77,759,2023-10-14
470,115,585,2023-10-15
316,59,375,2023-10-16
265,46,311,2023-10-17
211,43,254,2023-10-18
295,57,352,2023-10-19
451,75,526,2023-10-20
607,80,687,2023-10-21
363,66,429,2023-10-22
104,56,160,2023-10-23
82,42,124,2023-10-24
122,58,180,2023-10-25
123,39,162,2023-10-26
204,47,251,2023-10-27
287,74,361,2023-10-28
161,80,241,2023-10-29
84,43,127,2023-10-30
66,39,105,2023-10-31
58,46,104,2023-11-01
71,53,124,2023-11-02
154,60,214,2023-11-03
286,90,376,2023-11-04
219,91,310,2023-11-05
105,64,169,2023-11-06
23,15,38,2023-11-07
48,33,81,2023-11-08
78,41,119,2023-11-09
133,76,209,2023-11-10
293,67,360,2023-11-11
227,103,330,2023-11-12
48,41,89,2023-11-13
39,31,70,2023-11-14
66,50,116,2023-11-15
39,35,74,2023-11-16
74,81,155,2023-11-17
316,75,391,2023-11-18
192,58,250,2023-11-19
232,45,277,2023-11-20
291,40,331,2023-11-21
314,65,379,2023-11-22
123,35,158,2023-11-23
492,56,548,2023-11-24
406,54,460,2023-11-25
172,72,244,2023-11-26
62,47,109,2023-11-27
43,47,90,2023-11-28
56,36,92,2023-11-29
30,29,59,2023-11-30
31,33,64,2023-12-01
120,32,152,2023-12-02
105,50,155,2023-12-03
44,50,94,2023-12-04
53,36,89,2023-12-05
38,37,75,2023-12-06
42,63,105,2023-12-07
63,25,88,2023-12-08
210,70,280,2023-12-09
20,17,37,2023-12-10
44,37,81,2023-12-11
0,2,2,2023-12-12
37,20,57,2023-12-13
32,26,58,2023-12-14
98,73,171,2023-12-15
245,65,310,2023-12-16
189,97,286,2023-12-17
86,45,131,2023-12-18
84,28,112,2023-12-19
166,56,222,2023-12-20
174,81,255,2023-12-21
194,67,261,2023-12-22
400,67,467,2023-12-23
254,27,281,2023-12-24
0,0,0,2023-12-25
617,42,659,2023-12-26
630,68,698,2023-12-27
517,97,614,2023-12-28
759,61,820,2023-12-29
796,111,907,2023-12-30
526,95,621,2023-12-31
526,84,610,2024-01-01
269,65,334,2024-01-02
286,55,341,2024-01-03
285,58,343,2024-01-04
300,53,353,2024-01-05
390,80,470,2024-01-06
260,53,313,2024-01-07
0,0,0,2024-01-08
29,3,32,2024-01-09
43,38,81,2024-01-10
62,8,70,2024-01-11
107,46,153,2024-01-12
370,61,431,2024-01-13
232,50,282,2024-01-14
175,30,205,2024-01-15
29,16,45,2024-01-16
77,37,114,2024-01-17
81,52,133,2024-01-18
179,62,241,2024-01-19
430,108,538,2024-01-20
161,68,229,2024-01-21
58,36,94,2024-01-22
33,22,55,2024-01-23
73,64,137,2024-01-24
66,51,117,2024-01-25
127,50,177,2024-01-26
377,121,498,2024-01-27
227,90,317,2024-01-28
120,72,192,2024-01-29
58,34,92,2024-01-30
76,79,155,2024-01-31
89,50,139,2024-02-01
102,53,155,2024-02-02
339,45,384,2024-02-03
204,95,299,2024-02-04
81,57,138,2024-02-05
3,6,9,2024-02-06
55,27,82,2024-02-07
97,57,154,2024-02-08
142,50,192,2024-02-09
298,66,364,2024-02-10
156,68,224,2024-02-11
107,39,146,2024-02-12
44,24,68,2024-02-13
121,43,164,2024-02-14
88,30,118,2024-02-15
180,64,244,2024-02-16
520,89,609,2024-02-17
498,92,590,2024-02-18
0,0,0,2024-02-19
0,0,0,2024-02-20
0,0,0,2024-02-21
0,0,0,2024-02-22
0,0,0,2024-02-23
527,129,656,2024-02-24
319,85,404,2024-02-25
97,48,145,2024-02-26
25,8,33,2024-02-27
60,60,120,2024-02-28
105,50,155,2024-02-29
180,72,252,2024-03-01
301,46,347,2024-03-02
115,51,166,2024-03-03
62,48,110,2024-03-04
25,27,52,2024-03-05
118,64,182,2024-03-06
82,49,131,2024-03-07
190,64,254,2024-03-08
331,73,404,2024-03-09
423,113,536,2024-03-10
0,0,0,2024-03-11
0,0,0,2024-03-12
0,0,0,2024-03-13
192,27,219,2024-03-14
193,64,257,2024-03-15
374,115,489,2024-03-16
238,68,306,2024-03-17
290,71,361,2024-03-18
175,42,217,2024-03-19
338,62,400,2024-03-20
360,65,425,2024-03-21
484,106,590,2024-03-22
478,64,542,2024-03-23
240,62,302,2024-03-24
159,27,186,2024-03-25
157,22,179,2024-03-26
264,43,307,2024-03-27
272,45,317,2024-03-28
256,48,304,2024-03-29
335,61,396,2024-03-30
166,29,195,2024-03-31
135,53,188,2024-04-01
119,35,154,2024-04-02
100,59,159,2024-04-03
156,59,215,2024-04-04
176,63,239,2024-04-05
207,35,242,2024-04-06
182,66,248,2024-04-07
44,35,79,2024-04-08
59,35,94,2024-04-09
91,56,147,2024-04-10
83,27,110,2024-04-11
159,69,228,2024-04-12
453,64,517,2024-04-13
253,99,352,2024-04-14
154,9,163,2024-04-15
112,48,160,2024-04-16
151,53,204,2024-04-17
147,48,195,2024-04-18
235,56,291,2024-04-19
372,58,430,2024-04-20
357,87,444,2024-04-21
179,55,234,2024-04-22
93,31,124,2024-04-23
96,63,159,2024-04-24
54,40,94,2024-04-25
100,39,139,2024-04-26
286,56,342,2024-04-27
232,92,324,2024-04-28
102,59,161,2024-04-29
98,44,142,2024-04-30
90,40,130,2024-05-01
160,38,198,2024-05-02
126,73,199,2024-05-03
356,59,415,2024-05-04
3,17,20,2024-05-05
108,34,142,2024-05-06
66,50,116,2024-05-07
81,57,138,2024-05-08
82,41,123,2024-05-09
215,40,255,2024-05-10
359,46,405,2024-05-11
340,101,441,2024-05-12
134,56,190,2024-05-13
189,36,225,2024-05-14
167,45,212,2024-05-15
185,68,253,2024-05-16
257,80,337,2024-05-17
374,109,483,2024-05-18
375,87,462,2024-05-19
176,45,221,2024-05-20
321,20,341,2024-05-21
233,57,290,2024-05-22
306,51,357,2024-05-23
324,70,394,2024-05-24
773,61,834,2024-05-25
1133,114,1247,2024-05-26
661,121,782,2024-05-27
413,59,472,2024-05-28
431,78,509,2024-05-29
384,75,459,2024-05-30
450,101,551,2024-05-31
629,105,734,2024-06-01
688,151,839,2024-06-02
430,70,500,2024-06-03
511,71,582,2024-06-04
478,91,569,2024-06-05
558,121,679,2024-06-06
497,84,581,2024-06-07
770,106,876,2024-06-08
627,138,765,2024-06-09
466,87,553,2024-06-10
600,98,698,2024-06-11
646,96,742,2024-06-12
727,94,821,2024-06-13
437,39,476,2024-06-14
871,136,1007,2024-06-15
795,122,917,2024-06-16
671,88,759,2024-06-17
747,83,830,2024-06-18
750,141,891,2024-06-19
519,79,598,2024-06-20
536,52,588,2024-06-21
899,94,993,2024-06-22
710,152,862,2024-06-23
745,137,882,2024-06-24
758,120,878,2024-06-25
519,100,619,2024-06-26
398,63,461,2024-06-27
896,109,1005,2024-06-28
662,106,768,2024-06-29
822,124,946,2024-06-30
811,102,913,2024-07-01
1169,147,1316,2024-07-02
1056,147,1203,2024-07-03
1116,87,1203,2024-07-04
1739,145,1884,2024-07-05
1481,195,1676,2024-07-06
863,203,1066,2024-07-07
786,146,932,2024-07-08
794,116,910,2024-07-09
918,82,1000,2024-07-10
829,126,955,2024-07-11
1013,177,1190,2024-07-12
1071,128,1199,2024-07-13
684,99,783,2024-07-14
680,69,749,2024-07-15
716,120,836,2024-07-16
851,131,982,2024-07-17
849,70,919,2024-07-18
824,104,928,2024-07-19
823,97,920,2024-07-20
889,129,1018,2024-07-21
803,46,849,2024-07-22
871,128,999,2024-07-23
1086,95,1181,2024-07-24
944,91,1035,2024-07-25
835,98,933,2024-07-26
1153,116,1269,2024-07-27
1004,124,1128,2024-07-28
651,99,750,2024-07-29
936,98,1034,2024-07-30
802,92,894,2024-07-31
