Admissions/Covers,Members,Total Admissions,date
399,90,489,2023-01-01
310,67,377,2023-01-02
119,31,150,2023-01-03
147,59,206,2023-01-04
208,46,254,2023-01-05
174,60,234,2023-01-06
469,91,560,2023-01-07
239,82,321,2023-01-08
67,49,116,2023-01-09
10,7,17,2023-01-10
79,28,107,2023-01-11
88,51,139,2023-01-12
182,80,262,2023-01-13
503,86,589,2023-01-14
312,62,374,2023-01-15
157,66,223,2023-01-16
29,6,35,2023-01-17
31,25,56,2023-01-18
53,34,87,2023-01-19
167,45,212,2023-01-20
380,47,427,2023-01-21
243,47,290,2023-01-22
45,45,90,2023-01-23
2,0,2,2023-01-24
72,30,102,2023-01-25
83,57,140,2023-01-26
184,54,238,2023-01-27
355,65,420,2023-01-28
198,53,251,2023-01-29
52,30,82,2023-01-30
7,14,21,2023-01-31
58,44,102,2023-02-01
95,46,141,2023-02-02
178,75,253,2023-02-03
434,116,550,2023-02-04
206,81,287,2023-02-05
49,22,71,2023-02-06
7,16,23,2023-02-07
117,37,154,2023-02-08
70,51,121,2023-02-09
155,53,208,2023-02-10
424,73,497,2023-02-11
151,56,207,2023-02-12
86,23,109,2023-02-13
16,11,27,2023-02-14
19,8,27,2023-02-15
84,41,125,2023-02-16
224,50,274,2023-02-17
506,66,572,2023-02-18
393,35,428,2023-02-19
189,52,241,2023-02-20
26,16,42,2023-02-21
0,4,4,2023-02-22
75,33,108,2023-02-23
123,47,170,2023-02-24
344,97,441,2023-02-25
214,63,277,2023-02-26
90,41,131,2023-02-27
-3,12,9,2023-02-28
50,21,71,2023-03-01
61,36,97,2023-03-02
96,47,143,2023-03-03
344,79,423,2023-03-04
210,63,273,2023-03-05
81,25,106,2023-03-06
0,0,0,2023-03-07
85,29,114,2023-03-08
122,60,182,2023-03-09
68,27,95,2023-03-10
167,34,201,2023-03-11
242,64,306,2023-03-12
216,18,234,2023-03-13
75,16,91,2023-03-14
223,38,261,2023-03-15
267,27,294,2023-03-16
301,50,351,2023-03-17
525,73,598,2023-03-18
468,79,547,2023-03-19
222,32,254,2023-03-20
41,13,54,2023-03-21
180,42,222,2023-03-22
223,55,278,2023-03-23
243,62,305,2023-03-24
326,68,394,2023-03-25
319,76,395,2023-03-26
160,32,192,2023-03-27
52,6,58,2023-03-28
213,58,271,2023-03-29
68,7,75,2023-03-30
214,49,263,2023-03-31
399,79,478,2023-04-01
229,56,285,2023-04-02
61,4,65,2023-04-03
0,0,0,2023-04-04
85,35,120,2023-04-05
171,52,223,2023-04-06
158,43,201,2023-04-07
353,79,432,2023-04-08
180,56,236,2023-04-09
84,47,131,2023-04-10
40,6,46,2023-04-11
117,39,156,2023-04-12
76,28,104,2023-04-13
124,49,173,2023-04-14
287,74,361,2023-04-15
191,92,283,2023-04-16
0,0,0,2023-04-17
0,0,0,2023-04-18
30,0,30,2023-04-19
0,0,0,2023-04-20
0,1,1,2023-04-21
0,0,0,2023-04-22
0,0,0,2023-04-23
0,0,0,2023-04-24
0,0,0,2023-04-25
91,39,130,2023-04-26
81,55,136,2023-04-27
121,60,181,2023-04-28
445,104,549,2023-04-29
271,101,372,2023-04-30
135,33,168,2023-05-01
21,18,39,2023-05-02
96,36,132,2023-05-03
130,46,176,2023-05-04
127,47,174,2023-05-05
353,68,421,2023-05-06
166,92,258,2023-05-07
-1,0,-1,2023-05-08
82,54,136,2023-05-09
129,24,153,2023-05-10
86,33,119,2023-05-11
146,57,203,2023-05-12
327,49,376,2023-05-13
339,85,424,2023-05-14
175,42,217,2023-05-15
143,41,184,2023-05-16
114,53,167,2023-05-17
91,44,135,2023-05-18
273,55,328,2023-05-19
396,56,452,2023-05-20
273,76,349,2023-05-21
202,68,270,2023-05-22
153,25,178,2023-05-23
268,64,332,2023-05-24
302,60,362,2023-05-25
344,95,439,2023-05-26
1013,86,1099,2023-05-27
1193,78,1271,2023-05-28
690,105,795,2023-05-29
601,76,677,2023-05-30
512,57,569,2023-05-31
310,55,365,2023-06-01
376,69,445,2023-06-02
590,83,673,2023-06-03
641,116,757,2023-06-04
454,99,553,2023-06-05
472,66,538,2023-06-06
483,69,552,2023-06-07
562,88,650,2023-06-08
531,112,643,2023-06-09
798,97,895,2023-06-10
678,118,796,2023-06-11
602,80,682,2023-06-12
499,86,585,2023-06-13
557,83,640,2023-06-14
640,108,748,2023-06-15
427,62,489,2023-06-16
1175,104,1279,2023-06-17
1046,130,1176,2023-06-18
753,123,876,2023-06-19
680,109,789,2023-06-20
874,94,968,2023-06-21
767,110,877,2023-06-22
819,118,937,2023-06-23
915,129,1044,2023-06-24
772,127,899,2023-06-25
743,108,851,2023-06-26
750,90,840,2023-06-27
786,98,884,2023-06-28
772,130,902,2023-06-29
727,146,873,2023-06-30
1001,181,1182,2023-07-01
1284,189,1473,2023-07-02
1505,161,1666,2023-07-03
861,100,961,2023-07-04
1173,171,1344,2023-07-05
1101,146,1247,2023-07-06
930,158,1088,2023-07-07
1107,154,1261,2023-07-08
836,72,908,2023-07-09
773,88,861,2023-07-10
790,110,900,2023-07-11
755,125,880,2023-07-12
921,145,1066,2023-07-13
862,146,1008,2023-07-14
1017,74,1091,2023-07-15
820,146,966,2023-07-16
786,141,927,2023-07-17
793,100,893,2023-07-18
893,118,1011,2023-07-19
839,77,916,2023-07-20
873,129,1002,2023-07-21
1048,133,1181,2023-07-22
878,138,1016,2023-07-23
707,65,772,2023-07-24
876,144,1020,2023-07-25
791,126,917,2023-07-26
792,111,903,2023-07-27
1033,143,1176,2023-07-28
911,138,1049,2023-07-29
737,83,820,2023-07-30
543,69,612,2023-07-31
864,72,936,2023-08-01
771,84,855,2023-08-02
835,127,962,2023-08-03
906,111,1017,2023-08-04
886,127,1013,2023-08-05
887,124,1011,2023-08-06
755,91,846,2023-08-07
745,93,838,2023-08-08
659,109,768,2023-08-09
517,73,590,2023-08-10
768,90,858,2023-08-11
958,109,1067,2023-08-12
621,151,772,2023-08-13
362,98,460,2023-08-14
450,122,572,2023-08-15
568,111,679,2023-08-16
332,99,431,2023-08-17
513,99,612,2023-08-18
893,123,1016,2023-08-19
624,127,751,2023-08-20
386,105,491,2023-08-21
339,53,392,2023-08-22
371,80,451,2023-08-23
332,82,414,2023-08-24
386,51,437,2023-08-25
627,69,696,2023-08-26
527,101,628,2023-08-27
343,100,443,2023-08-28
283,86,369,2023-08-29
302,101,403,2023-08-30
310,82,392,2023-08-31
425,70,495,2023-09-01
1148,110,1258,2023-09-02
1353,131,1484,2023-09-03
841,108,949,2023-09-04
327,70,397,2023-09-05
218,47,265,2023-09-06
303,83,386,2023-09-07
399,80,479,2023-09-08
691,105,796,2023-09-09
334,73,407,2023-09-10
314,77,391,2023-09-11
215,44,259,2023-09-12
208,75,283,2023-09-13
240,70,310,2023-09-14
333,74,407,2023-09-15
600,110,710,2023-09-16
399,109,508,2023-09-17
166,41,207,2023-09-18
210,33,243,2023-09-19
292,47,339,2023-09-20
332,69,401,2023-09-21
392,86,478,2023-09-22
684,96,780,2023-09-23
518,98,616,2023-09-24
319,60,379,2023-09-25
227,63,290,2023-09-26
306,75,381,2023-09-27
367,76,443,2023-09-28
494,85,579,2023-09-29
626,88,714,2023-09-30
2,0,2,2023-10-01
0,0,0,2023-10-02
254,37,291,2023-10-03
278,56,334,2023-10-04
331,53,384,2023-10-05
388,67,455,2023-10-06
653,52,705,2023-10-07
621,123,744,2023-10-08
467,60,527,2023-10-09
310,40,350,2023-10-10
305,55,360,2023-10-11
298,49,347,2023-10-12
466,81,547,2023-10-13
682,77,759,2023-10-14
470,115,585,2023-10-15
316,59,375,2023-10-16
265,46,311,2023-10-17
211,43,254,2023-10-18
295,57,352,2023-10-19
451,75,526,2023-10-20
607,80,687,2023-10-21
363,66,429,2023-10-22
104,56,160,2023-10-23
82,42,124,2023-10-24
122,58,180,2023-10-25
123,39,162,2023-10-26
204,47,251,2023-10-27
287,74,361,2023-10-28
161,80,241,2023-10-29
84,43,127,2023-10-30
66,39,105,2023-10-31
58,46,104,2023-11-01
71,53,124,2023-11-02
154,60,214,2023-11-03
286,90,376,2023-11-04
219,91,310,2023-11-05
105,64,169,2023-11-06
23,15,38,2023-11-07
48,33,81,2023-11-08
78,41,119,2023-11-09
133,76,209,2023-11-10
293,67,360,2023-11-11
227,103,330,2023-11-12
48,41,89,2023-11-13
39,31,70,2023-11-14
66,50,116,2023-11-15
39,35,74,2023-11-16
74,81,155,2023-11-17
316,75,391,2023-11-18
192,58,250,2023-11-19
232,45,277,2023-11-20
291,40,331,2023-11-21
314,65,379,2023-11-22
123,35,158,2023-11-23
492,56,548,2023-11-24
406,54,460,2023-11-25
172,72,244,2023-11-26
62,47,109,2023-11-27
43,47,90,2023-11-28
56,36,92,2023-11-29
30,29,59,2023-11-30
31,33,64,2023-12-01
120,32,152,2023-12-02
105,50,155,2023-12-03
44,50,94,2023-12-04
53,36,89,2023-12-05
38,37,75,2023-12-06
42,63,105,2023-12-07
63,25,88,2023-12-08
210,70,280,2023-12-09
20,17,37,2023-12-10
44,37,81,2023-12-11
0,2,2,2023-12-12
37,20,57,2023-12-13
32,26,58,2023-12-14
98,73,171,2023-12-15
245,65,310,2023-12-16
189,97,286,2023-12-17
86,45,131,2023-12-18
84,28,112,2023-12-19
166,56,222,2023-12-20
174,81,255,2023-12-21
194,67,261,2023-12-22
400,67,467,2023-12-23
254,27,281,2023-12-24
0,0,0,2023-12-25
617,42,659,2023-12-26
630,68,698,2023-12-27
517,97,614,2023-12-28
759,61,820,2023-12-29
796,111,907,2023-12-30
526,95,621,2023-12-31
